Key,Type,Desc,English,Japanese
Board/award_contractor_description,Text,,Most building tags (event cards do not count).,ほとんどの建物のタグ（イベントカードはカウントされません）。
Board/award_contractor_title,Text,,CONTRACTOR,CONTRACTOR
Board/award_cultivator_description,Text,,Most greenery tiles.,ほとんどの緑地タイル。
Board/award_cultivator_title,Text,,CULTIVATOR,CULTIVATOR
Board/award_desertsettler_description,Text,,Most tiles south of the equator (the four bottom rows).,赤道より南側のタイルが多い（下段4枚）。
Board/award_desertsettler_title,Text,,DESERT SETTLER,DESERT SETTLER
Board/award_estatedealer_description,Text,,Most tiles adjacent to ocean tiles.,ほとんどのタイルが海洋タイルに隣接している。
Board/award_estatedealer_title,Text,,ESTATE DEALER,ESTATE DEALER
Board/award_excentric_description,Text,,Most resources on cards.,ほとんどの資源をカードで。
Board/award_excentric_title,Text,,EXCENTRIC,EXCENTRIC
Board/award_industrialist_description,Text,,Most steel and energy resources.,ほとんどの鋼鉄とエネルギー資源。
Board/award_industrialist_title,Text,,INDUSTRALIST,INDUSTRALIST
Board/award_landlord_description,Text,,Own the most tiles in play.,プレイ中のタイルを最も多く所有する。
Board/award_landlord_title,Text,,LANDLORD,LANDLORD
Board/award_magnate_description,Text,,Most automated cards in play (green cards).,最も自動化されているカード（緑のカード）。
Board/award_magnate_title,Text,,MAGNATE,MAGNATE
Board/award_miner_description,Text,,Have the most steel and titanium resource.,鋼鉄とチタンの資源を最も多く持っている。
Board/award_miner_title,Text,,MINER,MINER
Board/award_price01,Text,,1ST,1位
Board/award_price02,Text,,2ND,2位
Board/award_scientist_description,Text,,Have the most science tags in play.,科学タグを最も多く所持していること。
Board/award_scientist_title,Text,,SCIENTIST,SCIENTIST
Board/award_spacebaron_description,Text,,Most space tags (event cards do not count).,ほとんどのスペースタグ（イベントカードはカウントされません）。
Board/award_spacebaron_title,Text,,SPACE BARON,SPACE BARON
Board/award_thermalist_description,Text,,Have the most heat resource.,熱源を最も多く持つ。
Board/award_thermalist_title,Text,,THERMALIST,THERMALIST
Board/awards_title,Text,,AWARDS,アワード
Board/cantStealProduction,Text,,Can't steal from this player. Not enough resource production.,このプレイヤーから盗めない。資源の生産が足りない。
Board/cantStealResource,Text,,Can't steal from this player. Not enough resource.,このプレイヤーから盗めない。資源が足りない。
Board/card_buy,Text,,BUY UP TO {0} CARDS,最大 {0} 枚のカードを購入する
Board/card_corporation,Text,,CHOOSE YOUR CORPORATION,企業を選ぶ
Board/card_cost,Text,,COST,コスト
Board/card_deselect,Text,,DESELECT,選択を解除
Board/card_price,Text,,3 M€ EACH,各3M€
Board/card_receive,Text,,RECEIVE THESE CARDS,これらのカードが届く
Board/card_select,Text,,SELECT,選択する
Board/choice,Text,,SELECT ONE,１つを選ぶ
Board/cost_decrease,Text,,DECREASE COST,コスト削減
Board/cost_noResource,Text,,No resource available,資源がありません
Board/cost_optimal,Text,,OPTIMAL,オプティマル
Board/discarded,Text,,DISCARDED,破棄された
Board/drawn,Text,,DRAWN,ドロー
Board/finalscore,Text,,Final Score,最終スコア
Board/loc_ArsiaMons,Text,,ARSIA MONS,アルシアモンズ
Board/loc_AscraeusMons,Text,,ASCRAEUS MONS,アスクレウスモンズ
Board/loc_ElysiumMons,Text,,ELYSIUM MONS,エリシウムモンズ
Board/loc_GanymedeColony,Text,,GANYMEDE COLONY,ガニメデ・コロニー
Board/loc_HecateTolus,Text,,HECATES TOLUS,ヘカテス・トーラス
Board/loc_NoctisCity,Text,,NOCTIS CITY,ノクティス・シティ
Board/loc_OlympusMons,Text,,OLYMPUS MONS,オリンパスモンズ
Board/loc_PavonisMons,Text,,PAVONIS MONS,パボニス・モンズ
Board/loc_PhobosSpaceHaven,Text,,PHOBOS SPACE HAVEN,フォボス・スペース・ヘイブン
Board/loc_TharsisTholus,Text,,THARSIS THOLUS,サーシス トーラス
Board/loc_ganymede,Text,,GANYMEDE COLONY,ガニメデ・コロニー
Board/loc_noctis,Text,,NOCTIS CITY,ノクティス・シティ
Board/loc_phobos,Text,,PHOBOS SPACE HAVEN,フォボス・スペース・ヘイブン
Board/loc_volcano01,Text,,THARSIS THOLUS,サーシス トーラス
Board/loc_volcano02,Text,,ASCRAEUS MONS,アスクレウスモンズ
Board/loc_volcano03,Text,,PAVONIS MONS,パボニス・モンズ
Board/loc_volcano04,Text,,ARSIA MONS,アルシアモンズ
Board/message_Card149,Text,,SELECT A CARD WITH AT LEAST 1 RESOURCE,最低1つの資源を持つカードを選択
Board/milestone_title,Text,,MILESTONES,マイルストーン
Board/ms_builder_description,Text,,Have at least 8 building tags in play.,ビルディングタグを8枚以上プレイしていること。
Board/ms_builder_title,Text,,BUILDER,BUILDER
Board/ms_diversifier_description,Text,,Requires that you have 8 different tags in play.,8種類のタグをプレイしていることが条件です。
Board/ms_diversifier_title,Text,,DIVERSIFIER,DIVERSIFIER
Board/ms_ecologist_description,Text,,"Requires that you have 4 bio tags (plant-, microbe- and animal tags count as bio tags).",バイオタグを4枚所持している必要があります（植物、微生物、動物のタグもバイオタグとしてカウントされます）。
Board/ms_ecologist_title,Text,,ECOLOGIST,ECOLOGIST
Board/ms_energizer_description,Text,,Requires that you have 6 energy production.,エネルギー生産量が6であることが必要です。
Board/ms_energizer_title,Text,,ENERGIZER,ENERGIZER
Board/ms_gardener_description,Text,,Own at least 3 greenery tiles.,緑地タイルを3枚以上所有していること。
Board/ms_gardener_title,Text,,GARDENER,GARDENER
Board/ms_generalist_description,Text,,Requires that you have increased all 6 productions by at least 1 step (starting production from corporation cards count as increase).,6枚全ての生産枚数を1段階以上増やしている必要があります（企業カードからの生産開始も増加数にカウントされます）。
Board/ms_generalist_title,Text,,GENERALIST,GENERALIST
Board/ms_legend_description,Text,,Requires 5 played events (red cards).,プレイしたイベント（レッドカード）が5回必要です。
Board/ms_legend_title,Text,,LEGEND,LEGEND
Board/ms_mayor_description,Text,,Own at least 3 city tiles.,都市タイルを3枚以上所有していること。
Board/ms_mayor_title,Text,,MAYOR,MAYOR
Board/ms_planner_description,Text,,Have at least 16 cards in your hand when you claim the milestone.,マイルストーン申請時に手札が16枚以上あること。
Board/ms_planner_title,Text,,PLANNER,PLANNER
Board/ms_polarexplorer_description,Text,,Requires that you have 3 tiles on the two bottom rows.,下2段に3枚の牌があることが条件です。
Board/ms_polarexplorer_title,Text,,POLAR EXPLORER,POLAR EXPLORER
Board/ms_price,Text,,EACH PRIZE,各賞
Board/ms_rimsettler_description,Text,,Requires that you have 3 jovian tags.,木星タグを3つ持っていることが必要です。
Board/ms_rimsettler_title,Text,,RIM SETTLER,RIM SETTLER
Board/ms_specialist_description,Text,,Requires that you have at least 10 in production of any resource.,いずれかの資源を10個以上生産していることが必要です。
Board/ms_specialist_title,Text,,SPECIALIST,SPECIALIST
Board/ms_tactician_description,Text,,Requires that you have 5 cards with requirements in play.,条件を満たしたカードが5枚プレイされていることが必要です。
Board/ms_tactician_title,Text,,TACTICIAN,タクティシャン
Board/ms_terraformer_description,Text,,Have a terraform rating of at least 35.,テラフォーム評価が35以上であること。
Board/ms_terraformer_title,Text,,TERRAFORMER,TERRAFORMER
Board/ms_tycoon_description,Text,,Requires that you have 15 project cards in play (blue and green cards).,プロジェクトカードが15枚（青と緑のカード）プレイされていることが条件です。
Board/ms_tycoon_title,Text,,TYCOON,タイクーン
Board/newAction,Text,,NEW ACTION ADDED,新しいアクションが追加されました
Board/newCard,Text,,NEW CARD,新しいカード
Board/newEffect,Text,,NEW EFFECT ADDED,新しい効果が追加されました
Board/placeResource,Text,,{0} {1} RESOURCE ADDED,{0} {1}資源が追加されました
Board/placeResourceTitle,Text,,SELECT A CARD TO PLACE RESOURCE ON,カードを選んで資源を配置する
Board/playCard,Text,,PLAY A CARD,カードをプレイする
Board/playPreludeCard,Text,,PLAY A PRELUDE CARD,プレリュードカードをプレイする
Board/selectCard,Text,,SELECT A CARD,カードを選択する
Board/selectCards,Text,,SELECT {0} CARDS,{0}枚のカードを選択する
Board/selectCorporation,Text,,Select any corporation,任意の企業を選択
Board/selectNoOne,Text,,Select none,なしを選択
Board/selectPreludeCard,Text,,PICK A PRELUDE CARD,プレリュードカードをピックする
Board/selectPreludeCards,Text,,PICK {0} PRELUDE CARDS,{0} 枚のプレリュードカードをピックする
Board/selectProduction,Text,,Select any production,任意のプロダクションを選択
Board/sp_aquifer_description,Text,,"<color=#76e2cf>Place an ocean tile.</color>
Increases your TR by one step. Placing a tile next to an ocean gives you 2 M€ per adjacent ocean. ",<color=#76e2cf>海洋タイルを置く。</color>自分のTRを1段階上昇させる。海洋の隣にタイルを置くと、隣接する海洋1つにつき2M€を獲得できます。 
Board/sp_aquifer_title,Text,,AQUIFER,アクワイファー
Board/sp_asteroid_description,Text,,"Increase temperature by 1 step. 
 Increase your TR by 1 step.",温度を1段階上昇させる。 TRを1段階上げる。
Board/sp_asteroid_title,Text,,ASTEROID,小惑星
Board/sp_buffergas_description,Text,,Increase your TR by 1 step.,TRを1段階上げる。
Board/sp_buffergas_title,Text,,BUFFER GAS,バッファーガス
Board/sp_city_description,Text,,"<color=#76e2cf>Place a city tile and increase your M€ production by 1 step.</color>
Gain 1 VP at the end of the game for each adjacent greenery tile, regardless of owner.",<color=#76e2cf>都市タイルを1枚置き、自分のM€生産量を1段階増やす。</color>ゲーム終了時に所有者に関係なく、隣接する緑地タイル1枚につき1VPを獲得する。
Board/sp_city_title,Text,,CITY,都市
Board/sp_greenery_description,Text,,"<color=#76e2cf>Place a greenery tile.</color>
Increases the oxygen level and your TR by one step, if possible. Gain 1 VP at the end of the game per greenery. Gives 1 VP to adjacent city.",<color=#76e2cf>緑地タイルを置く。</color>可能なら酸素濃度と自分のTRを1段階上昇させる。緑1枚につきゲーム終了時にVPを1獲得する。隣接する都市に1VPを与える。
Board/sp_greenery_title,Text,,GREENERY,緑地
Board/sp_powerplant_description,Text,,Increase your energy production by 1 step.,エネルギー生産量を1段階上げる。
Board/sp_powerplant_title,Text,,POWER PLANT,発電所
Board/sp_sellpatent_description,Text,,Discard 1 or more cards from hand to gain 1 M€ per card discarded.,手札を1枚以上捨てると、1枚につき1M€を獲得できます。
Board/sp_sellpatent_title,Text,,SELL PATENT,パテントの売却
Board/standardprojects_title,Text,,STANDARD PROJECTS,標準プロジェクト
Board/stealResource,Text,,SELECT ANY RESOURCE,任意の資源を選択
Board/tab_NeutralPlayer,Text,,Neutral Player,ニュートラル・プレーヤー
Board/tab_action,Text,,ACTION {0}<color=#888888>/{1}</color>,アクション {0}<color=#8888>/{1}</color>
Board/tab_conversiondone,Text,,Conversion Completed,変換完了
Board/tab_conversionphase,Text,,Plant Conversion,植物コンバージョン
Board/tab_endturn,Text,,END TURN,ターン終了
Board/tab_nomoreaction,Text,,NO ACTION LEFT,NO ACTION LEFT
Board/tab_pass,Text,,PASS,パス
Board/tab_passed,Text,,PASSED,パスした
Board/tab_playing,Text,,PLAYING...,プレイ中...
Board/tab_productionphase,Text,,Production Phase,生産段階
Board/tab_ready,Text,,READY!,READY!
Board/tab_remove,Text,,REMOVE {0} {1},REMOVE {0} {1}
Board/tab_selectopponent,Text,,SELECT AN OPPONENT...,相手を選ぶ
Board/tab_selectplayer,Text,,SELECT A PLAYER...,プレーヤーを選択する...
Board/tab_skip,Text,,SKIP,スキップ
Board/tab_you,Text,,YOU,あなた
Board/tag_animal,Text,,ANIMAL,動物
Board/tag_building,Text,,BUILDING,建物
Board/tag_city,Text,,CITY,都市
Board/tag_earth,Text,,EARTH,地球
Board/tag_event,Text,,EVENT,イベント
Board/tag_jovian,Text,,JOVIAN,木星
Board/tag_microbe,Text,,MICROBE,微生物
Board/tag_plant,Text,,PLANT,工場
Board/tag_power,Text,,POWER,電力
Board/tag_science,Text,,SCIENCE,科学
Board/tag_space,Text,,SPACE,宇宙
Board/tag_wild,Text,,WILD,任意
Board/tile_capital,Text,,CAPITAL TILE,キャピタル・タイル
Board/tile_city,Text,,CITY TILE,都市タイル
Board/tile_commercial,Text,,COMMERCIAL DISTRICT TILE,商業地区タイル
Board/tile_ecological,Text,,ECOLOGICAL ZONE TILE,エコロジカルゾーンタイル
Board/tile_greenery,Text,,GREENERY TILE,緑地タイル
Board/tile_industrial,Text,,INDUSTRIAL CENTRE TILE,インダストリアルセンタータイル
Board/tile_mining,Text,,MINING AREA TILE,鉱区タイル
Board/tile_mohole,Text,,MOHOLE TILE,モホール・タイル
Board/tile_nuclear,Text,,NUCLEAR ZONE TILE,ニュークリアゾーンタイル
Board/tile_ocean,Text,,OCEAN TILE,オーシャンタイル
Board/tile_place,Text,,PLACE A {0},{0}を配置します。
Board/tile_preserve,Text,,NATURAL PRESERVE TILE,ナチュラルプリザーブタイル
Board/tile_receive,Text,,"YOU'VE RECEIVED A {0}.
SELECT WHERE YOU WANT TO PLACE IT.",{0}を受け取りました。置きたい場所を選んでください。
Board/tile_restricted,Text,,RESTRICTED AREA TILE,制限区域タイル
Board/tile_volcano,Text,,VOLCANO TILE,ボルカノタイル
Board/tray_actions,Text,,ACTIONS,アクション
Board/tray_actionsNone,Text,,No action available,アクションなし
Board/tray_cards,Text,,CARD RESOURCES,カード資源
Board/tray_cardsNone,Text,,No card with resource,資源付きカードなし
Board/tray_effects,Text,,EFFECTS,効果
Board/tray_effectsNone,Text,,No effect available,効果なし
Board/tray_tags,Text,,TAGS,タグ
Board/tray_tagsNone,Text,,No tags collected,収集したタグはありません
Board/tray_vp,Text,,VP,VP
Board/tray_vpNone,Text,,No VP yet,VPはまだありません
Board/tray_vp_Title,Text,,VICTORY POINTS,勝利ポイント
Card/CopyProduction,Text,,COPY A,コピーする
Card/DrawCards,Text,,Look at the top {0} cards from the deck. Take {1} of them into hand and discard the other {2}.,山札から一番上の{0}枚のカードを見ます。そのうちの{1}枚を手札に入れ、残りの{2}枚を捨て札にします。
Card/NextCard,Text,,NEXT CARD:,次のカード
Card/Or,Text,,OR,もしくは
Card/ProtectFromStealing,Text,,Animals may not be removed from this card.,このカードから動物を取り除くことはできない。
Card/SelectEnergy,Text,,SELECT ENERGY,セレクトエナジー
Card/SelectHeatProduction,Text,,SELECT HEAT PRODUCTION,セレクトヒートプロダクション
Card/Steal,Text,,STEAL,STEAL
Card/cardaction_005,Text,,"ACTION: Spend 1 M€ to reveal and discard the top card of the draw deck. If that card has a microbe tag, add a science resource on the card.",アクション：1M€を消費して、ドローデッキの一番上のカードを公開し、捨てます。そのカードに微生物タグがある場合、そのカードの科学資源を追加する。
Card/cardaction_006,Text,,ACTION: Look at the top card and either buy it or discard it.,アクション：一番上のカードを見て、買うか捨てるかします。
Card/cardaction_007,Text,,ACTION: Spend 1 energy to gain 1 M€ for each city tile ON MARS. ,アクション：エネルギーを1消費して、火星の都市タイル1枚につき1M€を獲得します。 
Card/cardaction_012,Text,,ACTION: Pay 12 M€ to place an ocean tile. Titanium may be used as if playing a space card.,アクション：12M€を支払って、海洋タイルを1枚配置します。チタンは宇宙カードをプレイするのと同じように使用することができます。
Card/cardaction_013,Text,,ACTION: Spend 1 steel to gain 5 M€.,アクション：鋼材を1個消費して5M€を獲得する。
Card/cardaction_014,Text,,ACTION: Spend 1 energy to draw a card from the draw deck.,アクション：エネルギーを1つ消費して、ドローデッキからカードを1枚引きます。
Card/cardaction_015,Text,,ACTION: Decrease your energy production by 1 step to increase your TR by 1 step.,アクション：エネルギー生産量を1ステップ減らすと、TRを1ステップ増やすことができます。
Card/cardaction_024,Text,,ACTION: Remove 1 animal from any card and add it to this card.,アクション：任意のカードから動物1匹を取り除き、このカードに加える。
Card/cardaction_028,Text,,ACTION: Spend 1 titanium to add 1 fighter to this card.,アクション：チタン1個を消費して、このカードにファイターを1体追加します。
Card/cardaction_033,Text,,ACTION: Add 1 microbe to this card or remove 2 microbes from this card to raise oxygen by 1 step.,アクション：このカードに微生物を1つ追加するか、このカードから微生物を2つ取り除くと、酸素が1段階上昇します。
Card/cardaction_034,Text,,ACTION: Add 1 microbe to this card or remove 2 microbes from this card to raise temperature by 1 step.,アクション：このカードに微生物を1つ追加するか、このカードから微生物を2つ取り除くと、温度が1段階上昇します。
Card/cardaction_035,Text,,ACTION: Remove 1 microbe from any card to add 1 microbe to this card.,アクション：任意のカードから微生物を1つ取り除き、このカードに微生物を1つ追加します。
Card/cardaction_049,Text,,ACTION: Add 1 microbe to this card.,アクション：このカードに微生物を1つ追加する。
Card/cardaction_052,Text,,ACTION: Add 1 animal to this card.,アクション：このカードに動物を1匹追加する。
Card/cardaction_054,Text,,ACTION: Add 1 animal to this card.,アクション：このカードに動物を1匹追加する。
Card/cardaction_069,Text,,ACTION: Spend 1 plant or 1 steel to gain 7 M€.,アクション：植物1個またはスチール1個を消費し、7M€を獲得します。
Card/cardaction_072,Text,,ACTION: Add an animal to this card.,アクション：このカードに動物1匹を追加します。
Card/cardaction_076,Text,,ACTION: Spend 7 M€ to increase your energy production by 1 step.,アクション：7M€を使い、エネルギー生産量を1段階増やします。
Card/cardaction_095,Text,,ACTION: Spend 6 energy to add a science resource to this card.,アクション：エネルギーを6消費して、このカードに科学資源を1つ追加します。
Card/cardaction_101,Text,,ACTION: Spend 4 energy to gain 1 steel and increase oxygen by 1 step.,アクション：エネルギーを4つ消費して鋼鉄を1つ獲得し、酸素を1段階増加させる。
Card/cardaction_103,Text,,ACTION: Spend 4 energy to gain 2 steel and increase oxygen by 1 step.,アクション：エネルギーを4つ消費して鋼鉄を2つ獲得し、酸素を1段階増加させる。
Card/cardaction_104,Text,,ACTION: Spend 4 energy to gain 1 titanium and increase oxygen by 1 step.,アクション：エネルギーを4消費してチタンを1個獲得し、酸素を1段階増加させる。
Card/cardaction_110,Text,,ACTION: Look at the top card and either buy it or discard it.,アクション：一番上のカードを見て、買うか捨てるかします。
Card/cardaction_123,Text,,ACTION: Spend 7 M€ to increase your steel production by 1 step.,アクション：7M€を使い、鋼鉄の生産量を1段階増やします。
Card/cardaction_133,Text,,ACTION: Add a microbe to ANOTHER card.,アクション：もう1枚のカードに微生物を追加する。
Card/cardaction_134,Text,,ACTION: Gain 1 plant OR add 2 microbes to ANOTHER card.,アクション：植物を1つ獲得する、または微生物を2つ他のカードに追加します。
Card/cardaction_154,Text,,ACTION: Spend 8 heat to increase your terraform rating by 1 step.,アクション：熱を8消費して、自分のテラフォーム評価を1段階上げる。
Card/cardaction_157,Text,,"ACTION: Add 1 microbe to this card, OR remove 3 microbes to increase your terraform rating by 1 step.",アクション：このカードに微生物を1つ追加する、または微生物を3つ削除して、自分のテラフォーム評価を1段階上げる。
Card/cardaction_172,Text,,1 VP per 2 animals on this card.,このカードに描かれている動物2匹につき1VP。
Card/cardaction_177,Text,,ACTION: Spend 3 energy to raise oxygen by 1 step.,アクション：エネルギーを3つ消費して、酸素を1段階上げる。
Card/cardaction_184,Text,,ACTION: Add 1 animal to this card.,アクション：このカードに動物を1匹追加する。
Card/cardaction_187,Text,,ACTION: Spend 8 M€ to place 1 ocean tile. STEEL MAY BE USED as if you were playing a building card.,アクション：8M€を消費して、海洋タイルを1枚配置します。鉄は建物カードと同じように使用することができます。
Card/cardaction_194,Text,,ACTION: Spend any amount of energy to gain that amount of M€.,アクション：任意のエネルギーを消費して、その分のM€を獲得します。
Card/cardaction_199,Text,,ACTION: Spend 2 M€ to draw a card.,アクション：2M€を消費してカードを1枚引きます。
Card/cardaction_202,Text,,ACTION: Spend 10 M€ to increase your heat production by 2 steps.,アクション：10M€を使い、熱生産量を2段階増加させる。
Card/cardaction_208,Text,,ACTION: Draw 2 cards.,アクション：カードを2枚引く。
Card/cardaction_P39,Text,,Action: Add a microbe to this card.,アクションこのカードに微生物を1つ追加する。
Card/carddescription_002,Text,,Decrease any titanium production by 1 step and increase your own by 1 step.,あらゆるチタンの生産量を1段階減らし、自分のチタンの生産量を1段階増やす。
Card/carddescription_003,Text,,Increase your energy production by 1 step and increase temperature by 1 step.,エネルギー生産量を1段階増やし、温度を1段階上げる。
Card/carddescription_004,Text,,Decrease your M€ production by 1 step and any heat production by 1 step. Increase your plant production by 2 steps.,M€ の生産量を1ステップ減らし、あらゆる熱の生産量を1ステップ減らします。植物の生産量を2段階増やします。
Card/carddescription_005,Text,,Add 3 VP for one or more science resources on this card.,このカードの科学資源1つ以上に対してVPを3追加する。
Card/carddescription_008,Text,,"Place the Capital tile. Decrease your energy production 2 steps and increase your M€ production 5 steps.
 Add 1 VP for each ocean tile adjacent to the Capital tile.",首都タイルを配置します。エネルギー生産量を2段階減らし、M€生産量を5段階増やします。首都タイルに隣接する海洋タイル1枚につき、VPを1追加する。
Card/carddescription_009,Text,,Raise temperature by 1 step and gain 2 titanium. Remove up to 3 plants from any player.,気温を1段階上げ、チタンを2個獲得する。任意のプレイヤーから植物を3つまで取り除く。
Card/carddescription_010,Text,,Raise temperature by 1 step and place an ocean tile. Remove up to 3 plants from any player.,気温を1段階上げ、海洋タイルを1枚置く。任意のプレイヤーから植物を3つまで取り除く。
Card/carddescription_011,Text,,Raise temperature by 2 steps and gain 4 titanium. Remove up to 4 plants from any player.,温度を2段階上昇させ、チタンを4個獲得する。任意のプレイヤーから植物を最大4つまで取り除く。
Card/carddescription_012,Text,,Add 1 VP for each Jovian tag you have.,あなたが持っている木星タグ1枚につき、VPを1追加する。
Card/carddescription_013,Text,,Increase your titanium production by 1 step.,チタンの生産量を1段階アップ。
Card/carddescription_016,Text,,Gain 3 plants and place a city tile. Decrease your energy production by 1 step and increase M€ production by 3 steps.,植物を3つ獲得し、都市タイルを1つ配置します。エネルギー生産量を1段階減らし、M€生産量を3段階増やします。
